position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
1,Atlético Madrid,30,17.0,6.0,7.0,0.087,0.05,0.03699999999999999,44.44444444444444,1950
2,Sevilla,30,17.0,4.0,9.0,0.079,0.046,0.033,42.22222222222222,1950
3,Valencia,30,17.0,3.0,10.0,0.064,0.048,0.016,41.11111111111111,1950
4,Barcelona,30,16.0,3.0,11.0,0.083,0.061,0.022000000000000006,38.88888888888889,1950
5,Real Sociedad,30,15.0,5.0,10.0,0.077,0.056,0.020999999999999998,38.88888888888889,1950
6,Valladolid,30,14.0,5.0,11.0,0.051,0.051,0.0,36.666666666666664,1950
7,Atlético Bilbao,30,15.0,3.0,12.0,0.088,0.056,0.031999999999999994,36.666666666666664,1950
8,Celta,30,15.0,3.0,12.0,0.062,0.056,0.005999999999999998,36.666666666666664,1950
9,Real Madrid,30,13.0,5.0,12.0,0.08,0.071,0.009000000000000008,34.44444444444444,1950
10,Real Santander,30,12.0,6.0,12.0,0.049,0.06,-0.010999999999999996,33.33333333333333,1950
11,Español,30,13.0,4.0,13.0,0.082,0.072,0.010000000000000009,33.33333333333333,1950
12,Deportivo La Coruña,30,13.0,4.0,13.0,0.064,0.047,0.017,33.33333333333333,1950
13,Málaga,30,12.0,5.0,13.0,0.055,0.052,0.0030000000000000027,32.22222222222222,1950
14,Murcia,30,8.0,3.0,19.0,0.04,0.086,-0.04599999999999999,21.11111111111111,1950
15,Alcoyano,30,6.0,2.0,22.0,0.036,0.092,-0.056,15.555555555555555,1950
16,Lérida,30,6.0,1.0,23.0,0.041,0.134,-0.093,14.444444444444443,1950
1,Barcelona,30,19.0,5.0,6.0,0.092,0.043,0.049,47.77777777777778,1951
2,Atlético Bilbao,30,17.0,6.0,7.0,0.078,0.046,0.032,44.44444444444444,1951
3,Real Madrid,30,16.0,6.0,8.0,0.079,0.05,0.028999999999999998,42.22222222222222,1951
4,Atlético Madrid,30,16.0,5.0,9.0,0.08,0.057,0.023,41.11111111111111,1951
5,Valencia,30,15.0,5.0,10.0,0.068,0.051,0.017000000000000008,38.88888888888889,1951
6,Sevilla,30,14.0,4.0,12.0,0.069,0.057,0.012000000000000004,35.55555555555556,1951
7,Español,30,14.0,4.0,12.0,0.069,0.062,0.007000000000000006,35.55555555555556,1951
8,Valladolid,30,9.0,11.0,10.0,0.047,0.043,0.0040000000000000036,32.22222222222222,1951
9,Celta,30,12.0,3.0,15.0,0.064,0.066,-0.0020000000000000018,30.0,1951
10,Real Sociedad,30,11.0,4.0,15.0,0.06,0.059,0.0010000000000000009,28.888888888888886,1951
11,Deportivo La Coruña,30,10.0,5.0,15.0,0.046,0.07,-0.024000000000000007,27.77777777777778,1951
12,Zaragoza,30,10.0,5.0,15.0,0.054,0.073,-0.018999999999999996,27.77777777777778,1951
